--------------------------------------------------------------------------------
Process Logger 2019-04-25 23:38:16.030481
--------------------------------------------------------------------------------
{'vms': 0.0, 'username': 'root', 'pid': 215, 'name': 'i915/signal:0'}
{'vms': 0.0, 'username': 'root', 'pid': 216, 'name': 'i915/signal:1'}
{'vms': 0.0, 'username': 'root', 'pid': 217, 'name': 'i915/signal:2'}
{'vms': 0.0, 'username': 'root', 'pid': 218, 'name': 'i915/signal:4'}
{'vms': 0.0, 'username': 'root', 'pid': 223, 'name': 'ttm_swap'}
{'vms': 0.0, 'username': 'root', 'pid': 224, 'name': 'gfx'}
{'vms': 0.0, 'username': 'root', 'pid': 225, 'name': 'comp_1.0.0'}
{'vms': 0.0, 'username': 'root', 'pid': 226, 'name': 'comp_1.0.1'}
{'vms': 0.0, 'username': 'root', 'pid': 227, 'name': 'comp_1.0.2'}
{'vms': 0.0, 'username': 'root', 'pid': 228, 'name': 'comp_1.0.3'}
{'vms': 0.0, 'username': 'root', 'pid': 229, 'name': 'comp_1.0.4'}
{'vms': 0.0, 'username': 'root', 'pid': 230, 'name': 'comp_1.0.5'}
{'vms': 0.0, 'username': 'root', 'pid': 231, 'name': 'comp_1.0.6'}
{'vms': 0.0, 'username': 'root', 'pid': 232, 'name': 'comp_1.0.7'}
{'vms': 0.0, 'username': 'root', 'pid': 233, 'name': 'sdma0'}
{'vms': 0.0, 'username': 'root', 'pid': 234, 'name': 'sdma1'}
{'vms': 0.0, 'username': 'root', 'pid': 249, 'name': 'kworker/3:1H'}
{'vms': 0.0, 'username': 'root', 'pid': 253, 'name': 'kworker/0:1H'}
{'vms': 0.0, 'username': 'root', 'pid': 254, 'name': 'kworker/6:1H'}
{'vms': 0.0, 'username': 'root', 'pid': 275, 'name': 'jbd2/sda10-8'}
{'vms': 0.0, 'username': 'root', 'pid': 276, 'name': 'ext4-rsv-conver'}
{'vms': 0.0, 'username': 'root', 'pid': 303, 'name': 'kworker/5:1H'}
{'vms': 34.57421875, 'username': 'root', 'pid': 314, 'name': 'systemd-journald'}
{'vms': 0.0, 'username': 'root', 'pid': 318, 'name': 'kworker/7:1H'}
{'vms': 45.6953125, 'username': 'root', 'pid': 350, 'name': 'systemd-udevd'}
{'vms': 0.0, 'username': 'root', 'pid': 353, 'name': 'loop0'}
{'vms': 0.0, 'username': 'root', 'pid': 354, 'name': 'kworker/1:1H'}
{'vms': 0.0, 'username': 'root', 'pid': 355, 'name': 'kworker/4:1H'}
{'vms': 0.0, 'username': 'root', 'pid': 357, 'name': 'loop1'}
