--------------------------------------------------------------------------------
Process Logger Thu Apr 25 23:43:26 2019
--------------------------------------------------------------------------------
{'pid': 215, 'username': 'root', 'vms': 0.0, 'name': 'i915/signal:0'}
{'pid': 216, 'username': 'root', 'vms': 0.0, 'name': 'i915/signal:1'}
{'pid': 217, 'username': 'root', 'vms': 0.0, 'name': 'i915/signal:2'}
{'pid': 218, 'username': 'root', 'vms': 0.0, 'name': 'i915/signal:4'}
{'pid': 223, 'username': 'root', 'vms': 0.0, 'name': 'ttm_swap'}
{'pid': 224, 'username': 'root', 'vms': 0.0, 'name': 'gfx'}
{'pid': 225, 'username': 'root', 'vms': 0.0, 'name': 'comp_1.0.0'}
{'pid': 226, 'username': 'root', 'vms': 0.0, 'name': 'comp_1.0.1'}
{'pid': 227, 'username': 'root', 'vms': 0.0, 'name': 'comp_1.0.2'}
{'pid': 228, 'username': 'root', 'vms': 0.0, 'name': 'comp_1.0.3'}
{'pid': 229, 'username': 'root', 'vms': 0.0, 'name': 'comp_1.0.4'}
{'pid': 230, 'username': 'root', 'vms': 0.0, 'name': 'comp_1.0.5'}
{'pid': 231, 'username': 'root', 'vms': 0.0, 'name': 'comp_1.0.6'}
{'pid': 232, 'username': 'root', 'vms': 0.0, 'name': 'comp_1.0.7'}
{'pid': 233, 'username': 'root', 'vms': 0.0, 'name': 'sdma0'}
{'pid': 234, 'username': 'root', 'vms': 0.0, 'name': 'sdma1'}
{'pid': 249, 'username': 'root', 'vms': 0.0, 'name': 'kworker/3:1H'}
{'pid': 253, 'username': 'root', 'vms': 0.0, 'name': 'kworker/0:1H'}
{'pid': 254, 'username': 'root', 'vms': 0.0, 'name': 'kworker/6:1H'}
{'pid': 275, 'username': 'root', 'vms': 0.0, 'name': 'jbd2/sda10-8'}
{'pid': 276, 'username': 'root', 'vms': 0.0, 'name': 'ext4-rsv-conver'}
{'pid': 303, 'username': 'root', 'vms': 0.0, 'name': 'kworker/5:1H'}
{'pid': 314, 'username': 'root', 'vms': 34.57421875, 'name': 'systemd-journald'}
{'pid': 318, 'username': 'root', 'vms': 0.0, 'name': 'kworker/7:1H'}
{'pid': 350, 'username': 'root', 'vms': 45.6953125, 'name': 'systemd-udevd'}
{'pid': 353, 'username': 'root', 'vms': 0.0, 'name': 'loop0'}
{'pid': 354, 'username': 'root', 'vms': 0.0, 'name': 'kworker/1:1H'}
{'pid': 355, 'username': 'root', 'vms': 0.0, 'name': 'kworker/4:1H'}
{'pid': 357, 'username': 'root', 'vms': 0.0, 'name': 'loop1'}
{'pid': 359, 'username': 'root', 'vms': 0.0, 'name': 'loop2'}
{'pid': 520, 'username': 'root', 'vms': 0.0, 'name': 'kworker/2:1H'}
{'pid': 521, 'username': 'root', 'vms': 0.0, 'name': 'kworker/u17:1'}
{'pid': 528, 'username': 'root', 'vms': 0.0, 'name': 'cfg80211'}
{'pid': 543, 'username': 'root', 'vms': 0.0, 'name': 'irq/51-DELL0810'}
{'pid': 561, 'username': 'root', 'vms': 0.0, 'name': 'ath10k_wq'}
{'pid': 562, 'username': 'root', 'vms': 0.0, 'name': 'ath10k_aux_wq'}
{'pid': 578, 'username': 'root', 'vms': 0.0, 'name': 'kmemstick'}
{'pid': 772, 'username': 'root', 'vms': 0.0, 'name': 'jbd2/sda9-8'}
{'pid': 773, 'username': 'root', 'vms': 0.0, 'name': 'ext4-rsv-conver'}
{'pid': 864, 'username': 'systemd-timesync', 'vms': 99.984375, 'name': 'systemd-timesyncd'}
